"Carimbo de data/hora","Quão clara a cultura da empresa está para você?","Quão confortável você se sente com a sua equipe de trabalho?","O dia a dia de trabalho é agradável para você?","Como o seu trabalho na TBO impacta na sua vida pessoal?","Você se sente pertencente à nossa empresa?","O seu gestor é claro nas funções que delega?","A comunicação entre gestor e funcionários é transparente?","Na sua opinião, as suas entregas são valorizadas?","Você sente que a sua opinião é levada em consideração para a tomada de decisões?","Seu líder te incentiva a aprender e impulsionar sua carreira?","Quão satisfeito (a) você está com as funções desempenhadas no seu dia a dia? ","Em um contexto geral, você enxerga valor nas suas atividades para o sucesso do negócio?","Você se sente desafiado (a) no trabalho?","Você se sente sobrecarregado (a) com as suas atividades? ","Com qual frequência você se sente sobrecarregado (a)?","Você tem alguma sugestão do que podemos fazer para diminuir esse efeito de sobrecarga?","Você enxerga seu crescimento dentro da empresa?","Quão claro é o plano de carreira para a sua posição?","Você entende quais são as entregas ou ações necessárias para alcançar novas posições?","Você tem interesse em ocupar outros cargos dentro da organização?","Qual é o cargo que você busca atingir no curto-médio prazo?","O ambiente de trabalho é adequado para realizar as suas atividades?","Você possui acesso a todas ferramentas físicas e digitais para desempenhar as suas funções? ","Na sua opinião, existem melhorias ergonômicas para serem feitas?","Na sua opinião, quão eficiente é o home office?","Você acredita que encontros presenciais são importantes? ","De quais equipamentos ou ferramentas você sente falta? ","Quais melhorias ergonômicas você sente que precisa?","Quais atividades presenciais fazem mais sentido para você?","Você está satisfeito (a) com a sua remuneração? ","Você acha que o seu salário é justo para as atividades que você desempenha? ","Se existe algum benefício que você sente falta de receber, qual seria? ","As formas de bonificações adicional fazem sentido para você?","Você gostaria de dar alguma ideia ou sugestão para a diretoria?","Existe algum ponto de atenção que você gostaria de comentar? ","Quão feliz você se sente na empresa? ","Trabalhar aqui é motivo de orgulho para você?","Onde você vê a TBO nos próximos anos?"
"2023/12/18 8:48:56 AM GMT-3","3","4","4","5","Sim","Talvez","Sim","Talvez","Talvez","Sim","4","Sim","Sim","Não","","","Sim","2","Não","Sim","Product/Project Owner","Sim","Sim","Sim","5","Sim","","","Idas ao Coworking para discutir os projetos do ponto de vista Criativo;Idas ao Coworking para discutir aspectos técnicos dos projetos (revisão ou alterações);Happy Hour para integração;Eventos Culturais (Museus / Cinemas / Mostras / Feiras);Eventos Esportivos (Corridas em parques, praças ou ruas / Escalada / Rafting / Trilhas)","Sim","Sim","Gosto do Swile e da forma com que podemos usar, o saldo podia ser maior nesse novo ano.","Sim","Formas de integração de equipe mesmo de forma remota.","Cumprimento de horários das reuniões. É até uma autocrítica também.","4","Sim","Uma equipe bem maior com uma maior cartela de clientes e projetos."
"2023/12/18 9:59:24 AM GMT-3","5","4","4","3","Sim","Sim","Sim","Sim","Sim","Sim","4","Sim","Sim","Sim","4","redução de acumulo de funções","Sim","5","Sim","Talvez","Gerente de Produção","Sim","Sim","Não","5","Sim","","","Happy Hour para integração;Eventos Culturais (Museus / Cinemas / Mostras / Feiras);Eventos Esportivos (Corridas em parques, praças ou ruas / Escalada / Rafting / Trilhas);Reuniões de gerenciamento dos projetos, analise de processos e clientes no coworking","Não","Talvez","plano de saúde","Sim","","qualidade e nivel das imagens. processos. delegação de atividades mais prazerosas para os colaboradores","4","houveram algumas situações com o trabalho de outros colaboradores e clientes q afetaram o orgulho no material em q entregamos, precisamos buscar formas de fazer nosso produto ser algo de alto nivel no mercado. Nossas imagens muitas vezes não são condizentes com o padrão de projetos que pegamos.","Com imagens de alto nível, processos estáveis e clientes internacionais"
"2023/12/18 1:08:06 PM GMT-3","4","5","3","4","Sim","Depende, sinto que nos últimos projetos algumas informações vem faltando ou não são vistas, e acabam sendo preenchidas pelo próprio gestor/tbo (Ex: paisagismo Gaia) o que, por não ser algo formalizado, acaba não tornando claro as escolhas de projeto para o resto da equipe. Isso também se enquadra com escolhas de acabamento em outros projetos.","Sim","Sim","Talvez","Recentemente tive uma experiência onde era necessário trocar uma imagem de noturna para ""sol das 15hrs"", estava no processo de criação de escolha de angulo do sol, nesse momento o PO estava fazendo a revisão da cena comigo e naturalmente achou o sol muito frio e apino, como é de fato o sol das 15hrs, e controlando meu pc, mudou o sol para mais tarde. Eu entendo a necessidade de ajustes rápidos dependendo da agenda de entregas, porém como artista 3D vem a ser muito frustrante e estagnador quando não tomo decisões de composição por mim. Se o sol era para ser experimental, porque definir um horário e ajustar ele diferente na revisão interna? Digo isso pois, novamente, se não consigo exercer meu senso crítico, não vou desenvolver boas imagens, não vou encontrar o melhor que posso fazer para melhorar a imagem como artista 3D contrato pela TBO e não vou evoluir na carreira, isso não é uma situação específica desse caso, porém sinto que está na hora da TBO definir seu estilo de imagem e composição para todos seguirem, e não ser apenas algo que é visto na hora pelo time de lideres a depender da situação e projeto.","4","Não","Sinto muitas vezes que o desafio maior é nas revisões, sinto que não tenho um processo onde reviso os arquivos recebidos e acabo seguindo a risca o que é passado no asana/em reuniões, e acabo indo alterar sem conhecer o projeto, o que pode levar a erros, porém também sinto que meu trabalho não é revisado internamente no meio de entregas R01..R02.. levando a situações como as plantas do Tajahy. A TBO cresceu muito nos últimos meses, sinto que a atenção com projetos e detalhes tem que ser muito maior, e não acredito que essa revisão deva ser só de quem produz. ","Eu sinto que aguento sobrecarga até um número x de trabalhos, acredito que venho notando que dentro da TBO, se eu pego trabalhos em andamento ou que eu não vejo a mais de duas semanas, eu tendo a levar um tempo maior para realizar ajustes pedidos e o número de erros tende a aumentar durante as atividades, elevando esse ciclo de sobrecarga.","","","Acredito que tive um crescimento em ápice até projetos como Avantti e Whome, após isso houve um crescimento menor e no momento estou estagnado.","1","Não","Antigamente gostava muito de aprender programas novos, hoje em dia sinto que tenho mais vontade de dominar aspectos mais básicos, composição de camera mais avançado, iluminação avançada, entender tons de verde nas imagens finais, entender tons do céu, entender quais céus e clima valorizam mais o projeto e a venda dele, como artista sinto que me segurei na parte técnica por muito tempo, recentemente tenho sede por partes mais sensíveis, e nesse momento venho estudando composições e direção de arte.","","Por parte da TBO sim, por mim acredito que tenho alguns desafios pessoais para separar melhor o trabalho e o pessoal, para melhor aproveitar o horário.","Sim, porém meu pc desligar em renders pesados e interativos ainda é um mistério para mim, e estou procurando informações desde que isso começou a ocorrer.","Não","5","Não","","","","Talvez","Talvez","Eu sinto que recentemente venho fazendo alguns freelas para complementar renda, e gostaria de ser exclusivo da TBO, porém acredito que isso seja uma conversa a parte.","Sim","Hoje durante a reunião de alinhamento (18/12) o Ruy fez um comentário extremamente importante sobre o tom esverdeado do céu na imagem da Mussi, comentários assim em revisões internas são extremamente bem vindos e ajudam no desenvolvimento mais correto do processo de criação de imagens, porque esse comentário não veio da direção de arte ou de outros artistas 3D? Acredito que precisamos de uma direção de arte mais bem estruturada, definição clara de referências para trabalharmos em cima, referência é o ponto inicial básico de qualquer trabalho de arte, reforço, de arte como um todo, fotógrafos, pintores, escultores, desenhistas.. todos estudam referências que se encaixam com seu estilo artístico e trabalham em cima delas julgando os pontos fortes para aplicar nas suas próprias imagens. A diretoria tem um amplo conhecimentos de referências, não separar algumas para os artistas se basearem logo no início do projeto é uma perda muito grande, para a TBO e para os clientes.","Como disse anteriormente, a TBO cresceu muito nesses últimos meses, a atenção para detalhes do projeto tem que ser maior, o número de projetos aumentou, porém sinto falta de uma organização de, por exemplo, pastas para plantas. Ao invés de termos apenas os recebidos, quem recebeu e está em comunicação com o cliente e entende do escopo de imagens (informação que os artistas 3D não tem) poderia separar na pasta de recebidos ou mural quais são os arquivos que vão ser utilizados para determinada função. Muitas vezes os novos arquivos recebidos ficam dias parados, e só temos informação da existência deles uma semana antes de entregar alguma atualização, seria ótimo já saber para ir estudando ou saber onde estão. 
Como disse anteriormente acredito que falte um pente fino maior de revisões internas, principalmente antes de entregas para clientes, por parte de quem tem noção maior dos arquivos por intimidade de tempo com eles e contato com cliente. 
A organização de pastas é confusa, muitas vezes estamos com as stills das fachadas em R03, porém para começar as plantas eu coloco em R01 e lá ficam, o processo de entregas para além das stills nem sempre é claro, em razão de nomenclatura. Achar os últimos arquivos trabalhados é demorado, pois é necessária uma revisão de pasta em pasta, comparando datas de upload.
A TBO gasta muito dinheiro em espaço de armazenamento de nuuvem desnecessário também, as vezes são feitas pastas de texturas por entrega, ao invés de uma pasta universal, e também assets como da Chaos Cosmos e Bridge deveriam ser salvos numa pasta do drive, para não termos multiplos assets iguais ocupando espaço em múltiplos trabalhos diferentes. Um carro da Cosmos pode pesar 100mb, imagine em 3 entregas de um trabalho, em cinco trabalhos diferentes, agora imaginem que nunca é só um carro, são diversos assets utilizados.. árvores.. pessoas..
Como também ressaltei, como arquiteto e artista 3D, a TBO propor paisagismo me soa diferente, fizemos uma proposta de paisagismo para Mussi e para Gaia, fora outras, tudo bom. Porque foram escolhidas aquelas plantas? Foi entregue tabela de plantas? Detalhamento para plantio? Quem faz a manutenção dos jardins após plantado para garantir crescimento  das mudas? Quem assina o paisagismo proposto pela TBO? Quanto é cobrado pelo tempo de projeto ou apenas é colocado plantas que se julgam interessantes no momento de criar 3D e a construtora nem vai executar? No ultimo projeto feito em Itajaí foi pedido pelo PO para colocar paisagismo na frente, numa área claramente para estacionamento, como artista 3D coloquei, porém novamente, um paisagismo tapando a frente das lojas e tirando locais de carro não faz sentido para uma cidade e para o empreendimento, a escolha de palmeira na frente do Gaia virou foco central da imagem frontal e foi proposta da TBO, uma planta de médio para grande porte custo elevado e manutenção elevada no estágio de muda. Meu ponto é, se a própria construtora não mandou o projeto ou contratou formalmente alguém para isso, porque alguém fazer uma proposta sem justificativa tecnica vai valorizar a imagem? Se a tbo tiver um setor de paisagismo eu super apoio, porém se for algo que está ali apenas para complementar e for algo feito de forma não formalizada ou remunerada, não vejo sentindo em ser feito, como arquiteto ou como artista 3D.
 
","5","Sim","Comemorando uma década de crescimentos e ótimos trabalhos entregues, com hierarquia de trabalho muito bem definida e aplicada, clareza no workflow, vários setores com muitas pessoas trabalhando neles."
"2023/12/18 1:47:44 PM GMT-3","5","4","5","5","Não","Sim","Sim","Sim","Talvez","Sim","5","Sim","Sim","Talvez","2","","Talvez","1","Não","Sim","Líder de Equipe - Coordenador","Sim","Sim","Talvez","4","Talvez","","","Idas ao Coworking para discutir os projetos do ponto de vista Criativo;Idas ao Coworking para discutir aspectos técnicos dos projetos (revisão ou alterações);Happy Hour para integração","Sim","Sim","Auxílio internet","Sim","Elaboração de um plano de carreira dentro da empresa","","4","Sim","Entre as maiores empresas de archviz do mercado "
"2023/12/19 12:12:40 PM GMT-3","5","5","4","5","Sim","Sim","Sim","Sim","Talvez","Sim","5","Sim","Sim","Não","","","Talvez","4","Sim","Sim","Artista 3D","Sim","Talvez","Sim","5","Sim","","","Idas ao Coworking para discutir os projetos do ponto de vista Criativo;Idas ao Coworking para discutir aspectos técnicos dos projetos (revisão ou alterações);Happy Hour para integração;Eventos Culturais (Museus / Cinemas / Mostras / Feiras);Eventos Esportivos (Corridas em parques, praças ou ruas / Escalada / Rafting / Trilhas)","Talvez","Talvez","Não ","Talvez","","","5","Sim","Top nacional "
"2023/12/19 1:10:04 PM GMT-3","4","4","4","5","Sim","Não","Sim","Sim","Sim","Sim","4","Talvez","Sim","Sim","4","delegar tarefas para outras pessoas","Talvez","4","Não","Não","","Não","Sim","Não","3","Sim","","","Idas ao Coworking para discutir os projetos do ponto de vista Criativo;Idas ao Coworking para discutir aspectos técnicos dos projetos (revisão ou alterações);Eventos Culturais (Museus / Cinemas / Mostras / Feiras);Eventos Esportivos (Corridas em parques, praças ou ruas / Escalada / Rafting / Trilhas)","Talvez","Talvez","não","Sim","","","5","Sim","os melhores serviços do mercado"
"2023/12/19 7:07:30 PM GMT-3","2","3","4","1","Não","Talvez","Talvez","Talvez","Talvez","Não","2","Não","Não","Não","","","Não","1","Não","Talvez","Artista 3D/Designer Senior","Sim","Sim","Talvez","5","Talvez","","","Happy Hour para integração","Talvez","Não","Ferias remuneradas, bonificação anual referente a 13º, 14º","Não","","","3","as vezes","Na mesma situação"
"2023/12/20 4:23:04 AM GMT-3","5","4","3","3","Sim","Não","Sim","Sim","Talvez","Sim","5","Sim","Sim","Sim","4","a sobrecarga começa com o número de projetos e prazos curtos, dias insanos de trabalho com pouco tempo de descanso e pra realização das tarefas da vida pessoal.","Sim","5","Sim","Sim","não entendi a diferença entre lider de equipe e gerente de produção","Sim","Talvez","Sim","5","Sim","","","Idas ao Coworking para discutir os projetos do ponto de vista Criativo;Idas ao Coworking para discutir aspectos técnicos dos projetos (revisão ou alterações);Happy Hour para integração;Eventos Culturais (Museus / Cinemas / Mostras / Feiras)","Talvez","Talvez","algum auxilio anual para melhoria de equipamento pessoal de trabalho","Não","","","4","Sim","espero que ganhando o mundo pra que todos cheguemos em uma posição confortável no mercado e de respeito!"
"2023/12/20 1:29:12 PM GMT-3","4","4","5","4","Sim","Talvez","Sim","Sim","Sim","Sim","4","Sim","Sim","Sim","4","assistente comercial e tercerização do setor financeiro","Sim","2","Não","Sim","Conselheiro do Board & Sócio Proprietário kkk","Sim","Não","Sim","5","Sim","","","Idas ao Coworking para discutir os projetos do ponto de vista Criativo;Happy Hour para integração;Eventos Culturais (Museus / Cinemas / Mostras / Feiras);Eventos Esportivos (Corridas em parques, praças ou ruas / Escalada / Rafting / Trilhas)","Sim","Sim","plano de saude","Sim","implementar indicadores para acompanhar o desenvolvimento da empresa","branding sem liderança, novo setor de marketing surgindo","4","Sim","No mundo inteiro, alcançando novos paises e continentes - com equipes e clientes de localizações e em idiomas variados"
"2023/12/20 5:59:59 PM GMT-3","5","5","5","5","considerar respostas do ultimo questionário (Ruy sabe!!)","considerar respostas do ultimo questionário (Ruy sabe!!)","considerar respostas do ultimo questionário (Ruy sabe!!)","considerar respostas do ultimo questionário (Ruy sabe!!)","considerar respostas do ultimo questionário (Ruy sabe!!)","considerar respostas do ultimo questionário (Ruy sabe!!)","4","Sim","No final desse ano desempenhei apenas funções basicas, então sinto que fiquei desmotivado com isso, me sentindo pouco desafiado e mal utilizado","Talvez","4","Acredito que precise existir uma definição de que tipo de entrega a TBO faz, somos uma agência que entrega o máximo de imagens de um projeto no menor tempo possível com um preço competitivo lucrando com volume ou somos uma empresa que vai cobrar mais por imagens e ter um lucro maior com menos projetos? Definindo isso, definindo melhor os papeis de cada um dentro da empresa (ex: diretor de arte) teremos menos sobrecarga.","Sinto que estagnei desde a ultima promoção. ","1","Não","Gostaria de começar a ter mais contato com a parte artistica das imagens, acredito que não irei deixar a parte de fabricação de imagem como Pleno, porém gostaria de ir estudando e adentrando no mundo da direção de arte, ao longo dos próximos anos.","","considerar respostas do ultimo questionário (Ruy sabe!!)","considerar respostas do ultimo questionário (Ruy sabe!!)","Sim","5","considerar respostas do ultimo questionário (Ruy sabe!!)","","","","Gostaria de indicações para saber o necessário para um aumento.","Sim","Horas extras.","Talvez","considerar respostas do ultimo questionário (Ruy sabe!!)","considerar respostas do ultimo questionário (Ruy sabe!!)","5","Sim","considerar respostas do ultimo questionário (Ruy sabe!!)"
